全部频道,#genre#
CCTV11·戏曲,http://39.134.65.162/PLTV/88888888/224/3221225517/index.m3u8#rtsp://183.252.176.54:554/PLTV/88888888/224/3221225996/10000100000000060000000002296743_0.smil#http://117.148.179.165/PLTV/88888888/224/3221231711/index.m3u8
CCTV12·社会与法,rtsp://183.252.166.199/PLTV/88888888/224/3221226659/40417266.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-12hd/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225669/index.m3u8
CCTV13·新闻,http://39.135.32.29:6610/000000001000/1000000002000021303/1.m3u8?#http://111.40.196.30/PLTV/88888888/224/3221225504/index.m3u8#http://scgctvshow.sctv.com/scgc/cctv13/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226104/10000100000000060000000002298296_0.smil#http://223.110.242.200:6610/gitv/live1/G_CCTV-13-CQ/G_CCTV-13-CQ
CCTV14·少儿,http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-14hd/1.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8#http://117.148.179.183/PLTV/88888888/224/3221231648/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226641/40418077.smil#http://111.63.77.77:80/gitv_live/G_CCTV-14-HD/G_CCTV-14-HD.m3u8
CCTV15·音乐,rtsp://183.252.176.54:554/PLTV/88888888/224/3221225998/10000100000000060000000002296745_0.smil#http://111.40.196.31/PLTV/88888888/224/3221225500/index.m3u8#http://117.148.179.169:80/PLTV/88888888/224/3221231693/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225513/index.m3u8
CCTV16·奥林匹克,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8#http://39.135.140.227:6610/PLTV/88888888/224/3221226233/2/index.m3u8?fmt=ts2hls#http://111.63.77.77:80/gitv_live/G_CCTV-16-CQ/G_CCTV-16-CQ.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221228144/index.m3u8#http://39.135.129.166:80/PLTV/88888888/224/3221226581/1.m3u8
CCTV17·农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225907/index.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-17hd/1.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-17-CQ/G_CCTV-17-CQ.m3u8#http://223.110.243.224/PLTV/3/224/3221227592/index.m3u8
CCTV5+·体育赛事,rtsp://183.252.166.199/PLTV/88888888/224/3221226714/40417236.smil#http://111.63.117.13:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8#http://111.40.196.25/PLTV/88888888/224/3221225767/index.m3u8#http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227631/index.m3u8
CCTV4K·超高清台,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8#https://p.ggiptv.com/v/4k.m3u8#http://ye23.win/iptv/4k.cctv.php
内蒙古卫视,http://live9.m2oplus.nmtv.cn/nmgws/playlist.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226092/10000100000000060000000002296930_0.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/bjws-hd/1.m3u8#http://117.148.179.168:80/PLTV/88888888/224/3221231732/index.m3u8#http://223.110.242.133:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/
上海卫视,http://coocaa-ynbit-ws.ifengli.com:2386/live/shdfws-hd/1.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226041/10000100000000060000000002296882_0.smil#http://111.40.196.35/PLTV/88888888/224/3221225509/index.m3u8#http://223.110.242.133:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226261/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8#http://117.148.179.160:80/PLTV/88888888/224/3221231738/index.m3u8
重庆卫视,http://qxlmlive.cbg.cn:1935/app_2/ls_67.stream/chunklist.m3u8#http://183.207.248.71/cntv/live1/HD-8000k-1080P-chongqingstv/HD-8000k-1080P-chongqingstv#rtsp://183.252.166.199/PLTV/88888888/224/3221226753/45949735.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226202/1.m3u8#http://223.110.242.133:6610/gitv/live1/G_CHONGQING-CQ/G_CHONGQING-CQ/
天津卫视,http://223.110.242.133:6610/gitv/live1/G_TIANJIN-CQ/G_TIANJIN-CQ/#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226204/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225698/index.m3u8#http://117.148.179.146:80/PLTV/88888888/224/3221228905/index.m3u8
新疆卫视,http://111.0.27.21/livehyw6.chinamcache.com/hyw/zb01.m3u8
浙江卫视,http://117.148.179.140:80/PLTV/88888888/224/3221229352/index.m3u8#http://111.40.196.25/PLTV/88888888/224/3221225523/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225798/1.m3u8#http://111.63.77.77:80/gitv_live/G_ZHEJIANG-MD/G_ZHEJIANG-MD.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226040/10000100000000060000000002296881_0.smil
福建卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/fjws-hd/1.m3u8#http://39.135.32.29:6610/000000001000/1000000002000009263/1.m3u8?
海峡卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
厦门卫视,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221226996/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226124/10000100000000060000000002358105_0.smil
湖南卫视,http://coocaa-ynbit-ws.ifengli.com:2386/live/hnws-hd/1.m3u8#http://111.63.77.77:80/gitv_live/G_HUNAN-MD/G_HUNAN-MD.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226082/10000100000000060000000002296924_0.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225799/1.m3u8#http://223.110.242.133:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/#http://117.148.179.172:80/PLTV/88888888/224/3221231729/index.m3u8
江苏卫视,http://39.135.32.28:6610/000000001000/1000000001000004684/1.m3u8?#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225800/1.m3u8#http://111.40.196.31/PLTV/88888888/224/3221225515/index.m3u8#http://117.148.179.175:80/PLTV/88888888/224/3221231447/index.m3u8#rtsp://183.252.176.54/PLTV/88888888/224/3221226038/10000100000000060000000002296879_0.smil#http://223.110.242.133:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
江西卫视,http://111.40.196.30/PLTV/88888888/224/3221225560/index.m3u8#http://39.135.140.227:6610/PLTV/88888888/224/3221225492/2/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226687/42186801.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/jxws-hd/1.m3u8#http://111.63.77.77:80/gitv_live/G_JIANGXI-CQ/G_JIANGXI-CQ.m3u8
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8
云南卫视,http://39.130.202.62:6610/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8#https://hwapi.yunshicloud.com/8xughf/e0bx15.m3u8
贵州卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226126/10000100000000060000000002434541_0.smil#http://111.63.77.77:80/gitv_live/G_GUIZHOU-HQ/G_GUIZHOU-HQ.m3u8
四川卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226806/45949301.smil#http://111.63.77.77:80/gitv_live/G_SICHUAN-HQ/G_SICHUAN-HQ.m3u8
康巴卫视,http://scgctvshow.sctv.com/hdlive/kangba/1.m3u8
安徽卫视,http://223.110.242.133:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ/#http://live1.ahwanyun.cn/wylive/07db2e13-9129-4a79-a059-92d7b400ddf3.m3u8#http://39.135.140.227:6610/PLTV/88888888/224/3221225691/2/index.m3u8#http://117.148.179.177:80/PLTV/88888888/224/3221230215/1.m3u8#http://zbbf2.ahtv.cn/live/749.m3u8#http://111.40.196.25/PLTV/88888888/224/3221225551/index.m3u8
山东卫视,http://coocaa-ynbit-ws.ifengli.com:2386/live/sdws-hd/1.m3u8#http://111.40.196.36/PLTV/88888888/224/3221225545/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226090/10000100000000060000000002296928_0.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226209/1.m3u8#http://223.110.242.133:6610/gitv/live1/G_SHANDONG-CQ/G_SHANDONG-CQ/
山西卫视,http://liveflash.sxrtv.com:80/live/sxwshd.m3u8#http://player.521fanli.cn/1691/0/tide/tidem3u8.php?id=shanxihd#http://httpdvb.slave.yqdtv.com:13164/playurl?playtype=live&protocol=http&playtoken=31603YEQXREOPEG10&auth=no&verifycode=14183&accesstoken=G79E6023V21307D1TD05FABJB53102ABM786710FEI3282697DK98BDA6&programid=4200000133
甘肃卫视,http://39.134.39.38/PLTV/88888888/224/3221226240/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225754/1.m3u8
广东卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226089/10000100000000060000000002296927_0.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225803/1.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/gdws-hd/1.m3u8#http://223.110.242.133:6610/gitv/live1/G_GUANGDONG-CQ/G_GUANGDONG-CQ/#http://117.148.179.141:80/PLTV/88888888/224/3221231891/1.m3u8
广西卫视,https://live-cdn.gxxw.com/tv/gxtvlive/index.m3u8
深圳卫视,http://coocaa-ynbit-ws.ifengli.com:2386/live/szws-hd/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225700/index.m3u8#http://111.63.77.77:80/gitv_live/G_SHENZHEN-MD/G_SHENZHEN-MD.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225801/1.m3u8
湖北卫视,http://39.135.32.28:6610/000000001000/6956052407855047826/1.m3u8?#http://111.40.196.27/PLTV/88888888/224/3221225654/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226206/1.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226091/10000100000000060000000002296929_0.smil
河北卫视,http://live2.plus.hebtv.com/hbwsx/hd/live.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226111/10000100000000060000000002310153_0.smil#http://223.110.242.133:6610/gitv/live1/G_HEBEI-CQ/G_HEBEI-CQ/
河南卫视,http://219.150.217.47:6610/PLTV2/2780/index.m3u8?icpid=dxrm1&servicetype=1&IASHttpSessionId=OTT#rtsp://183.252.166.199/PLTV/88888888/224/3221226076/10000100000000060000000002296917_0.smil#http://111.63.77.77:80/gitv_live/G_HENAN-CQ/G_HENAN-CQ.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225767/1.m3u8
辽宁卫视,http://coocaa-ynbit-ws.ifengli.com:2386/live/lnws-hd/1.m3u8#http://39.135.32.28:6610/000000001000/1000000002000024033/1.m3u8?#http://111.40.196.34/PLTV/88888888/224/3221225593/index.m3u8#http://223.110.242.133:6610/gitv/live1/G_LIAONING-CQ/G_LIAONING-CQ/#http://117.148.179.152:80/PLTV/88888888/224/3221231802/1.m3u8
吉林卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226792/48616745.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/jlws-hd/1.m3u8#http://223.110.242.133:6610/gitv/live1/G_JILIN-CQ/G_JILIN-CQ/
黑龙江卫视,http://111.40.196.38/PLTV/88888888/224/3221225544/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226087/10000100000000060000000002296926_0.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/hljws-hd/1.m3u8#http://117.148.179.141:80/PLTV/88888888/224/3221231967/1.m3u8
海南卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226048/10000100000000060000000002296889_0.smil#http://111.63.77.77:80/gitv_live/G_HAINAN-HQ/G_HAINAN-HQ.m3u8
兵团卫视,http://test5.btzx.com.cn/live/btxjbtws.stream/playlist.m3u8
宁夏卫视,http://39.134.93.229:6610/000000001000/nxweishi/1.m3u8?IASHttpSessionId=#https://hhylive.ningxiahuangheyun.com/live/nxws1M.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225748/1.m3u8
陕西卫视,http://39.134.19.6/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225821/1.m3u8#http://129.226.107.32:80/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8
南方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226218/1.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226788/48356344.smil#http://183.207.248.71/gitv/live1/G_NANFANG/G_NANFANG
三沙卫视,http://pull2.ssws.tv/live/SswsTV20210803.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226819/57526516.smil

央视频道,#genre#
CCTV01·综合,http://111.40.196.33/PLTV/88888888/224/3221225769/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226834/48356507.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-1hd/1.m3u8#http://117.148.179.155:80/PLTV/88888888/224/3221231468/1.m3u8#http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227634/index.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-1-MD/G_CCTV-1-MD.m3u8#http://scgctvshow.sctv.com/scgc/cctv1/index.m3u8
CCTV02·财经,http://39.135.32.28:6610/000000001000/1000000001000012442/1.m3u8?#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-2hd/1.m3u8#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226655/40417429.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-2-MD/G_CCTV-2-MD.m3u8#http://117.148.179.147:80/PLTV/88888888/224/3221231678/1.m3u8
CCTV03·综艺,http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-3hd/1.m3u8#http://111.40.196.29/PLTV/88888888/224/3221225588/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8#https://jwplay.hebyun.com.cn:443/live/cctv3/1500k/tzwj_video.m3u8#http://223.110.242.133:6610/jsyd/live1/G_CCTV-3-MD/G_CCTV-3-MD/#http://117.148.179.183:80/PLTV/88888888/224/3221231682/index.m3u8
CCTV04·国际,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8#http://39.135.32.28:6610/000000001000/1000000002000031664/1.m3u8?#http://117.148.179.183/PLTV/88888888/224/3221231726/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226633/40417241.smil#http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8
CCTV05·体育,http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-5hd/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8#http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225837/1.m3u8
CCTV06·电影,http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-6hd/1.m3u8#http://223.110.245.172/PLTV/3/224/3221225548/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8#http://39.135.32.28:6610/000000001000/1000000001000016466/1.m3u8?#https://jwplay.hebyun.com.cn:443/live/cctv6/1500k/tzwj_video.m3u8
CCTV07·军事,rtsp://183.252.166.199/PLTV/88888888/224/3221226645/40426612.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8#http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-7hd/1.m3u8#http://39.135.32.29:6610/000000001000/1000000001000017218/1.m3u8?#http://183.207.248.71/cntv/live1/cctv-7/cctv-7
CCTV08·电视剧,http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-8hd/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225631/index.m3u8#http://111.40.196.31/PLTV/88888888/224/3221225592/index.m3u8#http://39.134.39.37/PLTV/88888888/224/3221226257/index.m3u8#http://117.148.179.160:80/PLTV/88888888/224/3221231694/index.m3u8
CCTV09·记录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://111.40.196.34/PLTV/88888888/224/3221225502/index.m3u8#http://117.148.179.163/PLTV/88888888/224/3221231697/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226637/40417257.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-9hd/1.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-9-HD/G_CCTV-9-HD.m3u8
CCTV10·科教,http://117.148.179.174/PLTV/88888888/224/3221231666/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226718/40417274.smil#http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-10hd/1.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-10-HD/G_CCTV-10-HD.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11·戏曲,http://39.134.65.162/PLTV/88888888/224/3221225517/index.m3u8#rtsp://183.252.176.54:554/PLTV/88888888/224/3221225996/10000100000000060000000002296743_0.smil#http://117.148.179.165/PLTV/88888888/224/3221231711/index.m3u8
CCTV12·社会与法,rtsp://183.252.166.199/PLTV/88888888/224/3221226659/40417266.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-12hd/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225669/index.m3u8
CCTV13·新闻,http://39.135.32.29:6610/000000001000/1000000002000021303/1.m3u8?#http://111.40.196.30/PLTV/88888888/224/3221225504/index.m3u8#http://scgctvshow.sctv.com/scgc/cctv13/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226104/10000100000000060000000002298296_0.smil#http://223.110.242.200:6610/gitv/live1/G_CCTV-13-CQ/G_CCTV-13-CQ
CCTV14·少儿,http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-14hd/1.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8#http://117.148.179.183/PLTV/88888888/224/3221231648/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226641/40418077.smil#http://111.63.77.77:80/gitv_live/G_CCTV-14-HD/G_CCTV-14-HD.m3u8
CCTV15·音乐,rtsp://183.252.176.54:554/PLTV/88888888/224/3221225998/10000100000000060000000002296745_0.smil#http://111.40.196.31/PLTV/88888888/224/3221225500/index.m3u8#http://117.148.179.169:80/PLTV/88888888/224/3221231693/index.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225513/index.m3u8
CCTV16·奥林匹克,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8#http://39.135.140.227:6610/PLTV/88888888/224/3221226233/2/index.m3u8?fmt=ts2hls#http://111.63.77.77:80/gitv_live/G_CCTV-16-CQ/G_CCTV-16-CQ.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221228144/index.m3u8#http://39.135.129.166:80/PLTV/88888888/224/3221226581/1.m3u8
CCTV17·农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225907/index.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-17hd/1.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-17-CQ/G_CCTV-17-CQ.m3u8#http://223.110.243.224/PLTV/3/224/3221227592/index.m3u8
CCTV5+·体育赛事,rtsp://183.252.166.199/PLTV/88888888/224/3221226714/40417236.smil#http://111.63.117.13:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8#http://111.40.196.25/PLTV/88888888/224/3221225767/index.m3u8#http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227631/index.m3u8
CCTV4K·超高清台,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8#https://p.ggiptv.com/v/4k.m3u8#http://ye23.win/iptv/4k.cctv.php

卫视频道,#genre#
内蒙古卫视,http://live9.m2oplus.nmtv.cn/nmgws/playlist.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226092/10000100000000060000000002296930_0.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/bjws-hd/1.m3u8#http://117.148.179.168:80/PLTV/88888888/224/3221231732/index.m3u8#http://223.110.242.133:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/
上海卫视,http://coocaa-ynbit-ws.ifengli.com:2386/live/shdfws-hd/1.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226041/10000100000000060000000002296882_0.smil#http://111.40.196.35/PLTV/88888888/224/3221225509/index.m3u8#http://223.110.242.133:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226261/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8#http://117.148.179.160:80/PLTV/88888888/224/3221231738/index.m3u8
